,NASH_up,diff_w4_up,diff_w8_up,diff_w16_up,diff_w32_up,diff_w48_up
279,NA,NA,NA,Clcn6,Crispld2,NA
280,NA,NA,NA,Cldn4,Crlf1,NA
281,NA,NA,NA,Cldn6,Crocc,NA
282,NA,NA,NA,Clec11a,Cryab,NA
283,NA,NA,NA,Clec2l,Csf1,NA
284,NA,NA,NA,Clec4e,Csf3r,NA
285,NA,NA,NA,Clec5a,Csnk1e,NA
286,NA,NA,NA,Clec7a,Cspg4,NA
287,NA,NA,NA,Clic1,Csrnp2,NA
288,NA,NA,NA,Clip1,Cst3,NA
289,NA,NA,NA,Clip2,Ctps1,NA
290,NA,NA,NA,Clpx,Ctrc,NA
291,NA,NA,NA,Clspn,Ctrl,NA
292,NA,NA,NA,Clstn3,Cttnbp2,NA
293,NA,NA,NA,Clu,Cubn,NA
294,NA,NA,NA,Cmpk2,Cuzd1,NA
295,NA,NA,NA,Cnksr1,Cx3cl1,NA
296,NA,NA,NA,Cnksr3,Cx3cr1,NA
297,NA,NA,NA,Cnp,Cxcl1,NA
298,NA,NA,NA,Cntnap1,Cxcl10,NA
299,NA,NA,NA,Col11a1,Cxcl16,NA
300,NA,NA,NA,Col15a1,Cxcl6,NA
301,NA,NA,NA,Col16a1,Cxcl9,NA
302,NA,NA,NA,Col1a1,Cxcr2,NA
303,NA,NA,NA,Col1a2,Cyfip2,NA
304,NA,NA,NA,Col3a1,Cygb,NA
305,NA,NA,NA,Col4a1,Cyp17a1,NA
306,NA,NA,NA,Col5a1,Cyp26a1,NA
307,NA,NA,NA,Col5a2,Cyp2c12,NA
308,NA,NA,NA,Col5a3,Cyp2c24,NA
309,NA,NA,NA,Col6a2,Cyp2j10,NA
310,NA,NA,NA,Col8a1,Cyp3a62,NA
311,NA,NA,NA,Colec12,Cys1,NA
312,NA,NA,NA,Coro1a,Cyyr1,NA
313,NA,NA,NA,Coro1c,Dact3,NA
314,NA,NA,NA,Coro2a,Dag1,NA
315,NA,NA,NA,Coro6,Dbn1,NA
316,NA,NA,NA,Cotl1,Dcakd,NA
317,NA,NA,NA,Cpa6,Dcbld2,NA
318,NA,NA,NA,Cpne2,Dcdc2,NA
319,NA,NA,NA,Cpt1b,Dclk1,NA
320,NA,NA,NA,Cpxm1,Dclk3,NA
321,NA,NA,NA,Cpxm2,Dcn,NA
322,NA,NA,NA,Cpz,Ddah2,NA
323,NA,NA,NA,Creb3,Ddit3,NA
324,NA,NA,NA,Creb5,Ddit4l2,NA
325,NA,NA,NA,Crlf1,Degs2,NA
326,NA,NA,NA,Crot,Dennd2c,NA
327,NA,NA,NA,Crtap,Depdc5,NA
328,NA,NA,NA,Cryab,Des,NA
329,NA,NA,NA,Csf1,Dhdds,NA
330,NA,NA,NA,Csf2rb,Dkk3,NA
331,NA,NA,NA,Csmd1,Dkk4,NA
332,NA,NA,NA,Csn3,Dmbt1,NA
333,NA,NA,NA,Csnk1e,Dmrta1,NA
334,NA,NA,NA,Cstf2,Dnajb7,NA
335,NA,NA,NA,Ctf1,Dnajc27,NA
336,NA,NA,NA,Ctgf,Dnm1,NA
337,NA,NA,NA,Cthrc1,Dock6,NA
338,NA,NA,NA,Ctps1,Dok2,NA
339,NA,NA,NA,Ctsk,Dpep1,NA
340,NA,NA,NA,Cttn,Dph1,NA
341,NA,NA,NA,Cttnbp2nl,Dph6,NA
342,NA,NA,NA,Cubn,Dpysl2,NA
343,NA,NA,NA,Cx3cl1,Dscc1,NA
344,NA,NA,NA,Cx3cr1,Dtx3,NA
345,NA,NA,NA,Cxadr,Duox2,NA
346,NA,NA,NA,Cxcl1,Dupd1,NA
347,NA,NA,NA,Cxcl10,Dusp18,NA
348,NA,NA,NA,Cxcl14,Dusp2,NA
349,NA,NA,NA,Cxcl16,Dync2li1,NA
350,NA,NA,NA,Cxcl2,Dynlt1,NA
351,NA,NA,NA,Cxcl6,Dzip1l,NA
352,NA,NA,NA,Cxcr2,Ear11,NA
353,NA,NA,NA,Cxcr4,Ebf1,NA
354,NA,NA,NA,Cyfip2,Ece2,NA
355,NA,NA,NA,Cygb,Eci1,NA
356,NA,NA,NA,Cyp17a1,Edn1,NA
357,NA,NA,NA,Cyp1b1,Ednrb,NA
358,NA,NA,NA,Cyp26a1,Efcc1,NA
359,NA,NA,NA,Cyp26b1,Efemp2,NA
360,NA,NA,NA,Cyp2b1,Efhc2,NA
361,NA,NA,NA,Cyp2b2,Efhd1,NA
362,NA,NA,NA,Cyp2c22,Efna4,NA
363,NA,NA,NA,Cyp2c24,Egln3,NA
364,NA,NA,NA,Cyp2j10,Egr2,NA
365,NA,NA,NA,Cyp2s1,Egr3,NA
366,NA,NA,NA,Cyp4f17,Ehd2,NA
367,NA,NA,NA,Cyp4f5,Ehd4,NA
368,NA,NA,NA,Cyr61,Ehf,NA
369,NA,NA,NA,Dact2,Eif1ax,NA
370,NA,NA,NA,Dag1,Eif2s3x,NA
371,NA,NA,NA,Dagla,Elf3,NA
372,NA,NA,NA,Dapk1,Eln,NA
373,NA,NA,NA,Dbn1,Elovl6,NA
374,NA,NA,NA,Dcakd,Elovl7,NA
375,NA,NA,NA,Dcbld2,Emp1,NA
376,NA,NA,NA,Dclk1,Emp2,NA
377,NA,NA,NA,Dcn,Emp3,NA
378,NA,NA,NA,Dcun1d3,Enpp4,NA
379,NA,NA,NA,Ddhd1,Enpp5,NA
380,NA,NA,NA,Ddit3,Epcam,NA
381,NA,NA,NA,Ddit4,Epha4,NA
382,NA,NA,NA,Ddit4l2,Ephb2,NA
383,NA,NA,NA,Ddr2,Ephb3,NA
384,NA,NA,NA,Ddx21,Epn3,NA
385,NA,NA,NA,Dennd2c,Eps8l1,NA
