diff_w4_up,diff_w4_down,diff_w8_up,diff_w8_down,diff_w16_up,diff_w16_down,diff_w32_up,diff_w32_down,diff_w48_up,diff_w48_down
NA,NA,Svil,NA,Cd84,Cyp2d3,Cgref1,Cyp4a2,NA,NA
NA,NA,Tcea3,NA,Cd8a,Cyp2d4,Ch25h,Cyp4a8,NA,NA
NA,NA,Tcf7l1,NA,Cd8b,Cyp2e1,Chi3l1,Cyp4f1,NA,NA
NA,NA,Tex36,NA,Cd9,Cyp2f4,Chp2,Cyp4f4,NA,NA
NA,NA,Tf,NA,Cd93,Cyp2j3,Chpf,Cyp4v3,NA,NA
NA,NA,Tgm2,NA,Cdc25a,Cyp2t1,Chrm3,Cyp7b1,NA,NA
NA,NA,Thbs4,NA,Cdc42ep1,Cyp3a18,Chst1,Dab1,NA,NA
NA,NA,Tjp3,NA,Cdc42ep2,Cyp3a2,Chst9,Dbt,NA,NA
NA,NA,Tk1,NA,Cdc42ep5,Cyp3a9,Cidea,Dcaf11,NA,NA
NA,NA,Tkfc,NA,Cdc42se1,Cyp4f1,Cited1,Dcaf13,NA,NA
NA,NA,Tkt,NA,Cdc42se2,Cyp4f4,Clca2,Dcxr,NA,NA
NA,NA,Tmcc3,NA,Cdc7,Cyp4f6,Clca4,Ddi2,NA,NA
NA,NA,Tmem252,NA,Cdca2,Dab1,Clca4l,Ddt,NA,NA
NA,NA,Tmem97,NA,Cdca7,Dao,Clcf1,Ddx3,NA,NA
NA,NA,Tmie,NA,Cdca8,Dbp,Cldn4,Dexi,NA,NA
NA,NA,Tp53i3,NA,Cdh13,Dcaf11,Cldn5,Dhrs7,NA,NA
NA,NA,Trpm2,NA,Cdh3,Dctpp1,Cldn6,Dhtkd1,NA,NA
NA,NA,Tsc22d1,NA,Cdk14,Dcxr,Cldn7,Dnajc28,NA,NA
NA,NA,Tyms,NA,Cdk6,Ddah1,Cldn8,Dnase1l3,NA,NA
NA,NA,Unc5c,NA,Cdkl2,Ddi2,Clec4e,Dpp6,NA,NA
NA,NA,Unc5cl,NA,Cdkl3,Ddo,Clec5a,Dpt,NA,NA
NA,NA,Usp29,NA,Cdkn2b,Defb27,Clec7a,Dpy19l3,NA,NA
NA,NA,Ykt6,NA,Cdkn3,Dffb,Clic1,Dpyd,NA,NA
NA,NA,Ypel2,NA,Cdr2,Dgka,Clic5,Dpys,NA,NA
NA,NA,Zdhhc2,NA,Cdt1,Dgkq,Clip2,Dusp1,NA,NA
NA,NA,NA,NA,Cdyl2,Dhrs3,Clstn2,Dusp14,NA,NA
NA,NA,NA,NA,Cebpb,Dhrs4,Cnksr1,Dusp26,NA,NA
