diff_w4_up,diff_w4_down,diff_w8_up,diff_w8_down,diff_w16_up,diff_w16_down,diff_w32_up,diff_w32_down,diff_w48_up,diff_w48_down
NA,NA,NA,NA,S100a10,NA,Tubb2b,NA,NA,NA
NA,NA,NA,NA,S100a11,NA,Tubb4b,NA,NA,NA
NA,NA,NA,NA,S100a16,NA,Tubb6,NA,NA,NA
NA,NA,NA,NA,S100a4,NA,Tuft1,NA,NA,NA
NA,NA,NA,NA,S100a6,NA,Tusc3,NA,NA,NA
NA,NA,NA,NA,S100a8,NA,Txndc5,NA,NA,NA
NA,NA,NA,NA,S100a9,NA,Ube3d,NA,NA,NA
NA,NA,NA,NA,S1pr2,NA,Uck2,NA,NA,NA
NA,NA,NA,NA,S1pr5,NA,Ugcg,NA,NA,NA
NA,NA,NA,NA,Samd10,NA,Ugt1a2,NA,NA,NA
NA,NA,NA,NA,Samd4a,NA,Ugt1a9,NA,NA,NA
NA,NA,NA,NA,Samsn1,NA,Uhrf1,NA,NA,NA
NA,NA,NA,NA,Sapcd2,NA,Unc13b,NA,NA,NA
NA,NA,NA,NA,Sarm1,NA,Unc5b,NA,NA,NA
NA,NA,NA,NA,Sat1,NA,Unc5cl,NA,NA,NA
NA,NA,NA,NA,Scamp5,NA,Urm1,NA,NA,NA
NA,NA,NA,NA,Scara5,NA,Usp13,NA,NA,NA
NA,NA,NA,NA,Scd1,NA,Usp43,NA,NA,NA
NA,NA,NA,NA,Scd2,NA,Usp54,NA,NA,NA
NA,NA,NA,NA,Schip1,NA,Utp18,NA,NA,NA
NA,NA,NA,NA,Scn5a,NA,Vamp1,NA,NA,NA
NA,NA,NA,NA,Sctr,NA,Vars,NA,NA,NA
NA,NA,NA,NA,Sdad1,NA,Vcan,NA,NA,NA
NA,NA,NA,NA,Sdc1,NA,Vil1,NA,NA,NA
NA,NA,NA,NA,Sdc4,NA,Vim,NA,NA,NA
NA,NA,NA,NA,Sdcbp,NA,Vipr2,NA,NA,NA
NA,NA,NA,NA,Sdcbp2,NA,Vldlr,NA,NA,NA
NA,NA,NA,NA,Sdr16c6,NA,Vnn1,NA,NA,NA
NA,NA,NA,NA,Sec14l1,NA,Vopp1,NA,NA,NA
NA,NA,NA,NA,Sec22b,NA,Vps36,NA,NA,NA
NA,NA,NA,NA,Selm,NA,Vsig10,NA,NA,NA
NA,NA,NA,NA,Sema3b,NA,Vsx1,NA,NA,NA
NA,NA,NA,NA,Sema3c,NA,Vtcn1,NA,NA,NA
NA,NA,NA,NA,Sema4d,NA,Vwa7,NA,NA,NA
NA,NA,NA,NA,Sema6b,NA,Vwf,NA,NA,NA
NA,NA,NA,NA,Sep-11,NA,Wars,NA,NA,NA
NA,NA,NA,NA,Sep-05,NA,Wbp5,NA,NA,NA
NA,NA,NA,NA,Serinc2,NA,Wbscr17,NA,NA,NA
NA,NA,NA,NA,Serpina3n,NA,Wdr1,NA,NA,NA
NA,NA,NA,NA,Serpinb5,NA,Wdr35l,NA,NA,NA
NA,NA,NA,NA,Serpinb8,NA,Wdr4,NA,NA,NA
NA,NA,NA,NA,Serpinb9,NA,Wfdc21,NA,NA,NA
NA,NA,NA,NA,Serpine1,NA,Wisp2,NA,NA,NA
NA,NA,NA,NA,Serpinh1,NA,Wnk2,NA,NA,NA
NA,NA,NA,NA,Sertad1,NA,Wnt5a,NA,NA,NA
NA,NA,NA,NA,Sesn3,NA,Wnt7a,NA,NA,NA
NA,NA,NA,NA,Setd8,NA,Wt1,NA,NA,NA
NA,NA,NA,NA,Sfrp1,NA,Xirp2,NA,NA,NA
NA,NA,NA,NA,Sfxn3,NA,Yars,NA,NA,NA
NA,NA,NA,NA,Sfxn4,NA,Ypel4,NA,NA,NA
NA,NA,NA,NA,Sgcb,NA,Ywhah,NA,NA,NA
NA,NA,NA,NA,Sgcg,NA,Zc2hc1a,NA,NA,NA
NA,NA,NA,NA,Sgms2,NA,Zc3h12a,NA,NA,NA
NA,NA,NA,NA,Sh3bgrl2,NA,Zc3h12d,NA,NA,NA
NA,NA,NA,NA,Sh3bgrl3,NA,Zdhhc2,NA,NA,NA
NA,NA,NA,NA,Sh3bp4,NA,Zfand2a,NA,NA,NA
NA,NA,NA,NA,Sh3yl1,NA,Zfp202,NA,NA,NA
NA,NA,NA,NA,Shank3,NA,Zfp287,NA,NA,NA
NA,NA,NA,NA,Shtn1,NA,Zfp367,NA,NA,NA
NA,NA,NA,NA,Sipa1l3,NA,Zfp385d,NA,NA,NA
NA,NA,NA,NA,Sirpa,NA,Zfp39,NA,NA,NA
NA,NA,NA,NA,Sla,NA,Zfp521,NA,NA,NA
NA,NA,NA,NA,Slamf6,NA,Zfp579,NA,NA,NA
NA,NA,NA,NA,Slamf9,NA,Zfp90,NA,NA,NA
NA,NA,NA,NA,Slc10a2,NA,Zfpm2,NA,NA,NA
NA,NA,NA,NA,Slc10a3,NA,Zmat3,NA,NA,NA
NA,NA,NA,NA,Slc12a8,NA,Zwint,NA,NA,NA
NA,NA,NA,NA,Slc15a3,NA,Zyx,NA,NA,NA
NA,NA,NA,NA,Slc16a1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Slc16a3,NA,NA,NA,NA,NA
NA,NA,NA,NA,Slc1a5,NA,NA,NA,NA,NA
NA,NA,NA,NA,Slc20a1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Slc23a3,NA,NA,NA,NA,NA
NA,NA,NA,NA,Slc24a4,NA,NA,NA,NA,NA
NA,NA,NA,NA,Slc25a24,NA,NA,NA,NA,NA
NA,NA,NA,NA,Slc25a4,NA,NA,NA,NA,NA
NA,NA,NA,NA,Slc25a47,NA,NA,NA,NA,NA
NA,NA,NA,NA,Slc28a2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Slc34a2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Slc36a2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Slc36a4,NA,NA,NA,NA,NA
NA,NA,NA,NA,Slc37a2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Slc39a10,NA,NA,NA,NA,NA
NA,NA,NA,NA,Slc39a6,NA,NA,NA,NA,NA
NA,NA,NA,NA,Slc4a4,NA,NA,NA,NA,NA
NA,NA,NA,NA,Slc4a5,NA,NA,NA,NA,NA
NA,NA,NA,NA,Slc5a9,NA,NA,NA,NA,NA
NA,NA,NA,NA,Slc6a6,NA,NA,NA,NA,NA
NA,NA,NA,NA,Slc6a8,NA,NA,NA,NA,NA
NA,NA,NA,NA,Slc7a1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Slc7a11,NA,NA,NA,NA,NA
NA,NA,NA,NA,Slc7a15,NA,NA,NA,NA,NA
NA,NA,NA,NA,Slc7a5,NA,NA,NA,NA,NA
NA,NA,NA,NA,Slc7a6,NA,NA,NA,NA,NA
NA,NA,NA,NA,Slc7a8,NA,NA,NA,NA,NA
NA,NA,NA,NA,Slfn2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Slx4ip,NA,NA,NA,NA,NA
NA,NA,NA,NA,Smim3,NA,NA,NA,NA,NA
NA,NA,NA,NA,Smoc2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Smox,NA,NA,NA,NA,NA
NA,NA,NA,NA,Smpd3,NA,NA,NA,NA,NA
NA,NA,NA,NA,Smtnl2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Smyd5,NA,NA,NA,NA,NA
NA,NA,NA,NA,Snai1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Snrpd1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Sntb1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Snx12,NA,NA,NA,NA,NA
NA,NA,NA,NA,Snx7,NA,NA,NA,NA,NA
NA,NA,NA,NA,Soat1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Sod2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Sorcs1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Sorcs2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Sowahc,NA,NA,NA,NA,NA
NA,NA,NA,NA,Sox4,NA,NA,NA,NA,NA
NA,NA,NA,NA,Sox9,NA,NA,NA,NA,NA
NA,NA,NA,NA,Sp110,NA,NA,NA,NA,NA
NA,NA,NA,NA,Sp140,NA,NA,NA,NA,NA
NA,NA,NA,NA,Spag9,NA,NA,NA,NA,NA
NA,NA,NA,NA,Sparc,NA,NA,NA,NA,NA
NA,NA,NA,NA,Sparcl1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Spata2L,NA,NA,NA,NA,NA
NA,NA,NA,NA,Spats2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Spats2l,NA,NA,NA,NA,NA
NA,NA,NA,NA,Specc1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Spef1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Sphk1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Spink3,NA,NA,NA,NA,NA
NA,NA,NA,NA,Spn,NA,NA,NA,NA,NA
NA,NA,NA,NA,Spp1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Spryd3,NA,NA,NA,NA,NA
NA,NA,NA,NA,Spsb1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Spsb4,NA,NA,NA,NA,NA
NA,NA,NA,NA,Sptan1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Sptbn1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Sptlc2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Sqstm1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Src,NA,NA,NA,NA,NA
NA,NA,NA,NA,Srd5a3,NA,NA,NA,NA,NA
NA,NA,NA,NA,Srf,NA,NA,NA,NA,NA
NA,NA,NA,NA,Sri,NA,NA,NA,NA,NA
NA,NA,NA,NA,Srms,NA,NA,NA,NA,NA
NA,NA,NA,NA,Srpx2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Srxn1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Ss18,NA,NA,NA,NA,NA
NA,NA,NA,NA,Ssbp4,NA,NA,NA,NA,NA
NA,NA,NA,NA,Ssc5d,NA,NA,NA,NA,NA
NA,NA,NA,NA,Sstr3,NA,NA,NA,NA,NA
NA,NA,NA,NA,St3gal2,NA,NA,NA,NA,NA
NA,NA,NA,NA,St3gal4,NA,NA,NA,NA,NA
NA,NA,NA,NA,St3gal5,NA,NA,NA,NA,NA
NA,NA,NA,NA,St6galnac2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Stac2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Stap1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Stat3,NA,NA,NA,NA,NA
NA,NA,NA,NA,Steap1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Steap2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Steap4,NA,NA,NA,NA,NA
NA,NA,NA,NA,Stk40,NA,NA,NA,NA,NA
NA,NA,NA,NA,Stom,NA,NA,NA,NA,NA
NA,NA,NA,NA,Stoml1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Ston1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Stxbp1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Sulf1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Sult2a2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Sult2a6,NA,NA,NA,NA,NA
NA,NA,NA,NA,Sult4a1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Svil,NA,NA,NA,NA,NA
NA,NA,NA,NA,Syde1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Syn3,NA,NA,NA,NA,NA
NA,NA,NA,NA,Syne4,NA,NA,NA,NA,NA
NA,NA,NA,NA,Synj2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Synpo,NA,NA,NA,NA,NA
NA,NA,NA,NA,Syt1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Sytl4,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tacc1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tacc2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tacr3,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tagln,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tagln2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tap1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tapbp,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tax1bp3,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tbc1d19,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tbc1d2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tbcel,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tbx1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tbx4,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tcf4,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tead2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tes,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tex36,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tfcp2l1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tfpi,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tfpi2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tgfa,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tgfb1i1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tgfb3,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tgif1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tgm2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Thbd,NA,NA,NA,NA,NA
NA,NA,NA,NA,Thbs1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Thbs2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Thbs4,NA,NA,NA,NA,NA
NA,NA,NA,NA,Them4,NA,NA,NA,NA,NA
NA,NA,NA,NA,Them5,NA,NA,NA,NA,NA
NA,NA,NA,NA,Them6,NA,NA,NA,NA,NA
NA,NA,NA,NA,Thg1l,NA,NA,NA,NA,NA
NA,NA,NA,NA,Thnsl1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Thsd1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Thy1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tiam1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tigar,NA,NA,NA,NA,NA
NA,NA,NA,NA,Timp1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Timp2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Timp3,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tjp2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tjp3,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tk1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tkt,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tm4sf19,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tm6sf1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tma16,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tmbim1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tmcc3,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tmem106a,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tmem119,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tmem120a,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tmem151a,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tmem171,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tmem184b,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tmem2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tmem237,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tmem243,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tmem252,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tmem26,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tmem41a,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tmem43,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tmem45a,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tmem65,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tmprss2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tmsb10,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tnc,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tnf,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tnfaip1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tnfaip6,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tnfaip8,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tnfrsf10b,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tnfrsf11b,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tnfrsf12a,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tnfrsf1b,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tnfrsf21,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tnfrsf8,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tnfrsf9,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tnfsf9,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tnk2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tns3,NA,NA,NA,NA,NA
NA,NA,NA,NA,Top2a,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tor3a,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tp53,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tp53i3,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tpm1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tpm3,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tpm4,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tpx2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Traf1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Traf3,NA,NA,NA,NA,NA
NA,NA,NA,NA,Trafd1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Trak2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Trem1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Trem2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Trem3,NA,NA,NA,NA,NA
NA,NA,NA,NA,Trex1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tril,NA,NA,NA,NA,NA
NA,NA,NA,NA,Trim13,NA,NA,NA,NA,NA
NA,NA,NA,NA,Trim32,NA,NA,NA,NA,NA
NA,NA,NA,NA,Trim35,NA,NA,NA,NA,NA
NA,NA,NA,NA,Trim69,NA,NA,NA,NA,NA
NA,NA,NA,NA,Trip6,NA,NA,NA,NA,NA
NA,NA,NA,NA,Trmt10a,NA,NA,NA,NA,NA
NA,NA,NA,NA,Trmt6,NA,NA,NA,NA,NA
NA,NA,NA,NA,Trmt61a,NA,NA,NA,NA,NA
NA,NA,NA,NA,Trpm4,NA,NA,NA,NA,NA
NA,NA,NA,NA,Trpv2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Trub1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tsc22d1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tsc22d2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tsc22d4,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tshr,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tshz3,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tspan14,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tspan17,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tspan18,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tspan5,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tspo,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tsx,NA,NA,NA,NA,NA
NA,NA,NA,NA,Ttc12,NA,NA,NA,NA,NA
NA,NA,NA,NA,Ttc21b,NA,NA,NA,NA,NA
NA,NA,NA,NA,Ttc25,NA,NA,NA,NA,NA
NA,NA,NA,NA,Ttc26,NA,NA,NA,NA,NA
NA,NA,NA,NA,Ttc3,NA,NA,NA,NA,NA
NA,NA,NA,NA,Ttc39a,NA,NA,NA,NA,NA
NA,NA,NA,NA,Ttk,NA,NA,NA,NA,NA
NA,NA,NA,NA,Ttpal,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tuba1a,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tuba1b,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tuba1c,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tubb2a,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tubb2b,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tubb4b,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tubb5,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tubb6,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tuft1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tusc3,NA,NA,NA,NA,NA
NA,NA,NA,NA,Twf1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tyms,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tyro3,NA,NA,NA,NA,NA
NA,NA,NA,NA,Ubald1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Ube2g2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Ube3d,NA,NA,NA,NA,NA
NA,NA,NA,NA,Uck2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Ugcg,NA,NA,NA,NA,NA
NA,NA,NA,NA,Ugt1a2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Uhrf1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Umps,NA,NA,NA,NA,NA
NA,NA,NA,NA,Unc13b,NA,NA,NA,NA,NA
NA,NA,NA,NA,Unc5b,NA,NA,NA,NA,NA
NA,NA,NA,NA,Unc5c,NA,NA,NA,NA,NA
NA,NA,NA,NA,Unc79,NA,NA,NA,NA,NA
NA,NA,NA,NA,Upp1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Usp22,NA,NA,NA,NA,NA
NA,NA,NA,NA,Usp43,NA,NA,NA,NA,NA
NA,NA,NA,NA,Usp46,NA,NA,NA,NA,NA
NA,NA,NA,NA,Uxs1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Vangl1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Vars,NA,NA,NA,NA,NA
NA,NA,NA,NA,Vasp,NA,NA,NA,NA,NA
NA,NA,NA,NA,Vcan,NA,NA,NA,NA,NA
NA,NA,NA,NA,Vcl,NA,NA,NA,NA,NA
NA,NA,NA,NA,Vegfc,NA,NA,NA,NA,NA
NA,NA,NA,NA,Vezt,NA,NA,NA,NA,NA
NA,NA,NA,NA,Vim,NA,NA,NA,NA,NA
NA,NA,NA,NA,Vldlr,NA,NA,NA,NA,NA
NA,NA,NA,NA,Vmp1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Vps36,NA,NA,NA,NA,NA
NA,NA,NA,NA,Vps37c,NA,NA,NA,NA,NA
NA,NA,NA,NA,Vps9d1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Vrk2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Vsig10,NA,NA,NA,NA,NA
NA,NA,NA,NA,Vwa7,NA,NA,NA,NA,NA
NA,NA,NA,NA,Wbscr17,NA,NA,NA,NA,NA
NA,NA,NA,NA,Wdr1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Wdr91,NA,NA,NA,NA,NA
NA,NA,NA,NA,Wfdc21,NA,NA,NA,NA,NA
NA,NA,NA,NA,Wnk2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Wnt7a,NA,NA,NA,NA,NA
NA,NA,NA,NA,Xirp2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Xrcc6bp1,NA,NA,NA,NA,NA
NA,NA,NA,NA,Yars,NA,NA,NA,NA,NA
NA,NA,NA,NA,Ypel2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Ypel4,NA,NA,NA,NA,NA
NA,NA,NA,NA,Ywhag,NA,NA,NA,NA,NA
NA,NA,NA,NA,Ywhah,NA,NA,NA,NA,NA
NA,NA,NA,NA,Zbed3,NA,NA,NA,NA,NA
NA,NA,NA,NA,Zbtb25,NA,NA,NA,NA,NA
NA,NA,NA,NA,Zbtb42,NA,NA,NA,NA,NA
NA,NA,NA,NA,Zc3h12a,NA,NA,NA,NA,NA
NA,NA,NA,NA,Zc3h12c,NA,NA,NA,NA,NA
NA,NA,NA,NA,Zc3h12d,NA,NA,NA,NA,NA
NA,NA,NA,NA,Zcchc12,NA,NA,NA,NA,NA
NA,NA,NA,NA,Zdhhc13,NA,NA,NA,NA,NA
NA,NA,NA,NA,Zdhhc2,NA,NA,NA,NA,NA
NA,NA,NA,NA,Zfand2a,NA,NA,NA,NA,NA
NA,NA,NA,NA,Zfp295,NA,NA,NA,NA,NA
NA,NA,NA,NA,Zfp367,NA,NA,NA,NA,NA
NA,NA,NA,NA,Zfp438,NA,NA,NA,NA,NA
NA,NA,NA,NA,Zfp57,NA,NA,NA,NA,NA
NA,NA,NA,NA,Zfp583,NA,NA,NA,NA,NA
NA,NA,NA,NA,Zfp64,NA,NA,NA,NA,NA
NA,NA,NA,NA,Zfp641,NA,NA,NA,NA,NA
NA,NA,NA,NA,Zfp90,NA,NA,NA,NA,NA
NA,NA,NA,NA,Zfp951,NA,NA,NA,NA,NA
NA,NA,NA,NA,Zfp955a,NA,NA,NA,NA,NA
NA,NA,NA,NA,Zfyve19,NA,NA,NA,NA,NA
NA,NA,NA,NA,Zmat3,NA,NA,NA,NA,NA
NA,NA,NA,NA,Zyx,NA,NA,NA,NA,NA
